#abstract1.dat AMPL data format 

 
param m := 21 ;
param n :=99 ;

param gastos_fijos := 5000000;
param tra_permitidos := 75;
param cont_max := 100;
param prod_min:= 17000;
param gan_min :=200;
param presupuesto := 30000000;
param fase := 1;
param precio_etico := 1600;
param min_tra := 25;

 
param C:= 
1 300
2 300
3 300
4 300
5 780
6 300
7 300
8 300
9 300
10 300
11 300
12 300
13 300
14 180
15 180
16 180
17 300
18 300
19 520
20 610
21 580
;
 
param F:= 
1 4
2 4
3 3
4 3
5 3
6 3
7 3
8 3
9 3
10 3
11 3
12 3
13 3
14 4
15 4
16 3
17 4
18 4
19 4
20 3
21 4
22 3
23 3
24 4
25 3
26 4
27 3
28 4
29 3
30 4
31 3
32 4
33 3
34 4
35 3
36 3
37 4
38 4
39 3
40 3
41 3
42 3
43 3
44 3
45 3
46 4
47 3
48 4
49 3
50 3
51 3
52 3
53 4
54 3
55 3
56 3
57 4
58 3
59 3
60 4
61 4
62 4
63 4
64 3
65 4
66 3
67 3
68 4
69 4
70 3
71 3
72 4
73 4
74 3
75 3
76 4
77 4
78 4
79 3
80 3
81 4
82 4
83 3
84 3
85 3
86 3
87 4
88 3
89 3
90 3
91 3
92 4
93 4
94 3
95 3
96 4
97 3
98 3
99 3
;
 
param Q:= 
1 250
2 250
3 250
4 250
5 70
6 250
7 250
8 250
9 250
10 250
11 250
12 250
13 250
14 300
15 300
16 300
17 250
18 250
19 150
20 100
21 90
;
 
param S:= 
1 3000
2 3000
3 2500
4 2500
5 2500
6 2500
7 2500
8 2500
9 2500
10 2500
11 2500
12 2500
13 2500
14 2500
15 2500
16 2500
17 2500
18 2500
19 2500
20 2500
21 2500
22 2500
23 2500
24 2500
25 2500
26 3000
27 3000
28 3000
29 3000
30 3000
31 3000
32 3000
33 3000
34 3000
35 3000
36 3000
37 3000
38 3000
39 2500
40 2500
41 2500
42 2500
43 3000
44 3000
45 3000
46 3000
47 3000
48 3000
49 3000
50 3000
51 3000
52 3000
53 3000
54 3000
55 3000
56 3000
57 3000
58 3000
59 2500
60 2500
61 2500
62 2500
63 3000
64 3000
65 3000
66 3000
67 3000
68 3000
69 3000
70 3000
71 3000
72 3000
73 3000
74 3000
75 3000
76 3000
77 3000
78 3000
79 3000
80 3000
81 3000
82 3000
83 2500
84 3000
85 3000
86 3000
87 3000
88 3000
89 3000
90 3000
91 3000
92 3000
93 3000
94 3000
95 3000
96 3000
97 3000
98 3000
99 2500
;
 
param D:= 
1 10
2 17
3 27
4 20
5 10
6 27
7 24
8 16
9 5
10 3
11 2
12 20
13 20
14 17
15 17
16 5
17 12
18 12
19 10
20 10
21 12
22 9
23 9
24 10
25 1
26 10
27 20
28 17
29 10
30 12
31 20
32 7
33 10
34 10
35 5
36 10
37 17
38 17
39 18
40 20
41 20
42 10
43 27
44 10
45 27
46 10
47 16
48 12
49 10
50 10
51 6
52 20
53 12
54 10
55 6
56 9
57 10
58 9
59 20
60 17
61 12
62 10
63 12
64 27
65 10
66 10
67 20
68 10
69 12
70 2
71 10
72 12
73 10
74 3
75 10
76 10
77 17
78 12
79 10
80 9
81 12
82 17
83 9
84 27
85 20
86 7
87 10
88 10
89 9
90 24
91 16
92 17
93 10
94 2
95 10
96 12
97 6
98 20
99 2
;
 
param Cont:= 
1 0.53
2 0.53
3 0.16
4 0.53
5 0.16
6 0.53
7 0.53
8 0.53
9 0.53
10 0.16
11 0.0
12 0.16
13 0.53
14 0.53
15 0.16
16 0.53
17 0.0
18 0.53
19 0.16
20 0.0
21 0.53
22 0.0
23 0.16
24 0.53
25 0.0
26 0.16
27 0.53
28 0.53
29 0.53
30 0.0
31 0.53
32 0.0
33 0.53
34 0.53
35 0.16
36 0.16
37 0.16
38 0.53
39 0.53
40 0.53
41 0.53
42 0.53
43 0.53
44 0.16
45 0.16
46 0.16
47 0.53
48 0.16
49 0.16
50 0.0
51 0.53
52 0.53
53 0.53
54 0.53
55 0.16
56 0.16
57 0.53
58 0.53
59 0.53
60 0.53
61 0.53
62 0.53
63 0.0
64 0.16
65 0.16
66 0.16
67 0.16
68 0.53
69 0.16
70 0.0
71 0.53
72 0.53
73 0.53
74 0.0
75 0.53
76 0.16
77 0.16
78 0.53
79 0.16
80 0.16
81 0.16
82 0.53
83 0.53
84 0.53
85 0.53
86 0.53
87 0.0
88 0.0
89 0.16
90 0.53
91 0.16
92 0.53
93 0.16
94 0.53
95 0.53
96 0.16
97 0.16
98 0.16
99 0.0
;
